Topic,Count,Name,Representation,Representative_Docs
-1,2498,we_jaar_mensen_wel,"['we', 'jaar', 'mensen', 'wel', 'intelligentie', 'zegt', 'kunstmatige', 'nieuwe', 'gaat', 'waar']","['kunstmatige intelligentie best bedreigend kunstmatige intelligentie nuttig tijdgeest mei valt bezien broodroosters magnetron makkelijk hand houdt betreft eng vind werkgevers gebruikt gaat banen échte ', 'mensen stuk efficiënter kunstmatige intelligentie wereld raakte afgelopen jaar ban kunstmatige intelligentie kortweg ai zolang alleen kijkt scherm gebeurt snapt ilyaz nasrullah informaticus digitaal s', 'kunstmatige intelligentie baat diversiteit neuraal netwerk natuur komt kracht diversiteit menselijk brein ecosysteem waarom kunstmatige intelligenties relatief eenvormig vraag ging team north carolina']"
0,432,robot_men_mensen_we,"['robot', 'men', 'mensen', 'we', 'machine', 'intelligentie', 'kunstmatige', 'banen', 'werk', 'gaan']","['tekenfilm maken gaat ai stuk sneller animatiefilms maken peter pan pinocchio tijdrovend duur eerste animatiefilm walt disney sneeuwwitje zeven dwergen jaren getekend computer uiteraard wel tekenaars f', 'hoezo brein techniek kunstmatige intelligentie boot vijf inzittenden drijft richting vijand ontsnappen onmogelijk inzittenden plan mezelf vernietigen daarmee vijand zegt personage droid oftewel robot ', 'slimme kinderen denken slimme robot robot gemaakt vriend alleen leren zegt meisje jaar enschede weten anderen gelukkig maak verdriet leren aanpassen alleen robotvriend leer bovenstaande uitspraak komt']"
1,147,patiënten_patiënt_zorg_artsen,"['patiënten', 'patiënt', 'zorg', 'artsen', 'medische', 'philip', 'ziekenhuis', 'art', 'ziekenhuizen', 'zegt']","['kunstmatige intelligentie verslaat artsen opsporen borstkanker prognose zeven vrouwen nederland krijgt borstkanker eerder tumor ontdekt beter prognose daarom krijgen jaarlijks miljoen vrouwen vijftig ', 'app even kijken huid liever dokter diagnose neem app waarmee onregelmatigheden huid kunt controleren zet app telefoon maakt foto verdachte plekje moedervlek weten zorgen maken producent app aanprijst ', 'app even kijken huid liever dokter diagnose neem app waarmee onregelmatigheden huid kunt controleren zet app telefoon maakt foto verdachte plekje moedervlek weten zorgen maken producent app aanprijst ']"
2,136,auto_rijden_zelfrijdende_tesla,"['auto', 'rijden', 'zelfrijdende', 'tesla', 'elektrische', 'bestuurder', 'bmw', 'kilometer', 'stuur', 'mercedes']","['robot betere kunstmatige intelligentie zelfrijdende auto baant weg straten los angeles boekt rit via speciale app belandt bijrijdersstoel stuur naast beweegt alsof rijden stoel leeg auto rijdt zichzel', 'futuristisch rijden eerste zelfrijdende taxi beloofde elon musk alleen taxi dacht onderzoeksafdeling financiële nieuwssite business insider bi intelligence tijd decennium voorbij miljoen zelfrijdende ', 'bezit eigen auto binnenkort overbodig manier waarop we toekomst gaan verplaatsen kwestie volop leeft vandaag presenteert financiële dienstverlener kpmg onderzoek toekomst zelfrijdende auto nederland r']"
3,123,beleggers_rente_inflatie_aex,"['beleggers', 'rente', 'inflatie', 'aex', 'aandelen', 'amerikaanse', 'aandeel', 'centrale', 'lager', 'beurs']","['oorlogen trage economische groei laten beleggers koud flinke koersstijgingen sind financiële crisis eigenlijk vrijwel continu feest aandelenbeurzen sloot graadmeter gang zaken amsterdamse beurs drie k', 'aex punten mijlpaal dankzij centrale banken chiprally mijlpaal dankzij centrale banken chiprally johan wiering amsterdam geholpen koerssprong asml sloot aex woensdag eerst twee jaar boven punten amper', 'beurs opgaan record handvatten expert vrees aandelen weg nemen handvatten expert vrees aandelen weg nemen regent record aandelenmarkten aangevuurd spectaculaire koersstijgingen techbedrijven spaarders']"
4,122,chatgpt_chatbot_chatbots_openai,"['chatgpt', 'chatbot', 'chatbots', 'openai', 'google', 'bing', 'teksten', 'bot', 'antwoord', 'antwoorden']","['kunstmatige intelligentie allemaal waard welkom essay chatbot chatgpt gebruikt letterlijk figuurlijk afgeschermd enorme klimaatafdruk software gebruiker opent app begint typen scherm waar verder alle ', 'chatgpt slim alleen begrijpt eigen antwoorden kunstmatige intelligentie pim haselager hoogleraar kunstmatige intelligentie radboud universiteit nijmegen wel vinden term kunstmatige intelligentie windo', 'leer iedereen chatgpt instrueren zoals we leren lezen schrijven kunstmatige intelligentie afgelopen maanden ging medium vaak chatgpt kunstmatige intelligentie ai aangedreven chatbot binnen mum tijd me']"
5,110,europese_europa_eu_brussel,"['europese', 'europa', 'eu', 'brussel', 'commissie', 'china', 'lidstaten', 'duitsland', 'macron', 'landen']","['spanje zet europese turbo vier jaar vier hele jaren duurt gemiddeld wetsvoorstel europese commissie bedacht lidstaten ingevoerd eeuwigheid zó lang lidstaten vaak vergeten ooit mee instemden verontwaar', 'nederland schiet zichzelf voet rob wijk nederland europese unie lastigste jongetjes klas getuigt angst kiezer gebrekkig strategisch denken vorig jaar blokkeerde nederland saman denemarken frankrijk st', 'nieuwe nokia staat europa achter china v europa bak landen verenigde staten china economisch beetje bijbenen economische groei innovatie nodig regels daarvoor versnipperd stelt topambtenaar maarten ca']"
6,106,mln_bedrijven_investeerders_jaar,"['mln', 'bedrijven', 'investeerders', 'jaar', 'bedrijf', 'geld', 'fonds', 'investeringen', 'mrd', 'nederland']","['hou gewilde ingenieurs vast groei wel dacht oprichter thijs manders jaar geleden bedrijf tmc gespecialiseerd technologieconsultancy detachering hoogopgeleide ingenieurs vooral brainport eindhoven leek', 'belegger verdient data tech ruimte fonds beeld fonds beeld theo besteman amsterdam corona pijnigt economie lockdown lieten aandelen thuisbezorgers videostreamdiensten stijgen beleggingsfondsen bouwen ', 'broedplaats nestelt abn gabi ouwerkerk amsterdam abn amro gaat komende drie maanden tien beginnende fintech bedrijven begeleiden bank hiervoor samenwerkingsverband aangegaan amerikaanse investeringspl']"
7,92,film_the_sciencefiction_depp,"['film', 'the', 'sciencefiction', 'depp', 'regisseur', 'uur', 'genre', 'alien', 'machina', 'westworld']","['verbluffend knap sciencefictionspektakel kunstmatige intelligentie regie gareth edward john david washington madeleine yuna voyles gemma chan laten we hopen film ai geschreven the creator absoluut bes', 'robotrevolutie begrijpelijk daarmee gewoontjes serie westworld keer simpeler haast plechtige belofte maker nadat tweede seizoen nogal wisselend ontvangen eerste seizoen amusementspark westworld waarin', 'griezelige journalist liefde verklaarde kent hal ai opdringerig leven wringt goed even herinnering roepen zoals we leerden kennen stanley kubrick sciencefictionfilm a space odyssey daarin hal ai opere']"
8,84,dieren_natuur_we_soorten,"['dieren', 'natuur', 'we', 'soorten', 'bomen', 'dier', 'planten', 'geluiden', 'biodiversiteit', 'haven']","['kunstmatige intelligentie gaat dieren luisteren dierenwereld volop geluid gemaakt zangvogels zingen indruk maken geslacht vleermuizen gebruiken ultrasone gepiep oriënteren tijdens vliegen hyena tijden', 'denkt men boven dier staan dier nieuwe geschiedenis men melanie challenger vert huub stegeman ten have blz engelse melanie challenger kunstenaar schrijver filosoof schreef dichtbundel zette fragmenten', 'leer natuur lezen app telefoon lente aanbreekt valt natuur opeens tulpen buren kwetterende zangvogels binnenplaats heten vogeltjes eigenlijk mooie bloesemboom straathoek bloei staat leven som frustrer']"
9,82,ai_intelligentie_computer_kunstmatige,"['ai', 'intelligentie', 'computer', 'kunstmatige', 'men', 'machine', 'mensen', 'we', 'google', 'menselijke']","['nee kunstmatige intelligentie gaat uitroeien welkom serie kunstmatige intelligentie mensheid gaat uitroeien kort idee alleen serieus genomen zolderkamergeleerden schreef roko gebruiker rationaliteit t', 'kunstmatige intelligentie begint gevaarlijk aldus expert brandbrief moment tijdelijk stoppen ontwikkeling kunstmatige intelligentie ai aangebroken schrijven honderden deskundigen gebied kunstmatige in', 'kunstmatige intelligentie stuit filosofische grenzen guido knaap boom blz guido knaap studeerde wijsbegeerte logica politicologie universiteit amsterdam waar kunstmatige intelligentie doceerde knaaps ']"
10,70,democratie_we_politieke_partij,"['democratie', 'we', 'politieke', 'partij', 'politiek', 'mensen', 'partijen', 'samenleving', 'onze', 'kamer']","['korea viert democratie top knevelt pers middenin coronatijd december sprak amerikaanse president joe biden via beeldschermen leiders alle landen v democratisch genoeg vonden deel nemen nieuw paradepaa', 'imran khan wint kiezers vieren feest zondagmiddag officieel onafhankelijke kandidaten pti partij pakistaanse imran khan verkiezingen pakistan gewonnen behaalden gezamenlijk bijna zetels partij nawaz s', 'opa macht vervreemdt jongeren politiek stop onmiddellijk betitelen extreemrechtse politici populisten luidt oproep the conversation aurelien mondon politicoloog alex yates linguïst betiteling volgens ']"
11,68,china_chinese_xi_trump,"['china', 'chinese', 'xi', 'trump', 'amerikaanse', 'landen', 'beijing', 'taiwan', 'land', 'economische']","['taiwanese president adviseert v china officiële bevestiging dinsdag eigenlijk verrassing taiwanese president tsai tijdens bezoek los angeles spreken kevin mccarthy voorzitter amerikaanse huis afgevaar', 'china rusland roepen saman stop uitbreiding navo china rusland gezamenlijke verklaring uitgesproken uitbreiding navo russische president vladimir poetin gisteren peking openingsceremonie olympische sp', 'china boeit biden rusland column terwijl amerikaanse minister buitenlandse zaken blinken scherpste randjes relatie china trachtte halen presenteerde brussel contouren plan europa minder kwetsbaar land']"
12,67,brein_hersenen_neuralink_musk,"['brein', 'hersenen', 'neuralink', 'musk', 'chip', 'computer', 'gedachten', 'we', 'proefpersonen', 'neuronen']","['brein computer versmelten interview brein vermogen watt auto besturen eigenlijk we willen weten zegt bert vries hoogleraar electrical engineering tu eindhoven antwoord vraag zoekt vries saman collega ', 'brein neemt jou woorden mond hersenwetenschap brein neemt jou woorden mond terwijl adem langs jouw stembanden komen voorspellen hersenen gaat komen welke klank welke woorden vervolg jouw zin brein wac', 'brein neemt jou woorden mond hersenwetenschap brein neemt jou woorden mond terwijl adem langs jouw stembanden komen voorspellen hersenen gaat komen welke klank welke woorden vervolg jouw zin brein wac']"
13,67,roman_boek_frankenstein_verhaal,"['roman', 'boek', 'frankenstein', 'verhaal', 'mary', 'shelley', 'leven', 'jezus', 'beslisser', 'fictie']","['keuze berthold mari spaans labatut maniac meridiaan levensverhaal john von neumann geniale wiskundige meewerkte ontwikkelen atoombom eerste computer eerste pogingen kunstmatige intelligentie man daarb', 'innerlijke noodzaak laatst hoorde schrijver oek jong geïnterviewd gijs groenteman jong sprak manier waarop literair auteur overgeleverd dwingende ideeën invallen bestoken vanuit onderbewuste verzet aa', 'praten boven via chatbox jesuspt eerst jezus ten hemel gevaren kwam heilige geest ervoor terug zover bijbelse verhaal contact wilde treden volgens christelijke traditie sindsdien direct via jezus moed']"
